10101	78	59	36
10102	88	73	79
10103	88	91	90
10104	76	20	45
10105	83	72	78
10106	95	92	91
10107	76	78	82
10108	77	77	82
10109	62	61	71
10110	83	50	64
10111	89	48	63
10112	95	94	92
10113	81	84	86
10114	85	28	50
10115	75	61	71
10116	87	76	81
10117	51	73	79
10118	66	34	54
10119	72	59	70
10120	76	60	70
10121	65	30	51
10122	85	94	92
10123	67	70	77
10124	78	78	82
10125	70	61	71
10126	83	64	73
10127	73	69	76
10128	82	39	57
10129	66	71	78
10130	70	69	76
10131	76	67	75
10132	75	75	80
10133	72	83	85
10134	80	82	85
10135	86	80	84
10136	67	69	77
10137	85	100	100
10138	76	35	55
10139	87	100	99
10140	63	45	61
